,Num_Acc,id_vehicule,num_veh,senc,catv,obs,obsm,choc,manv,motor,occutc,jour,mois,an,hrmn,lum,dep,com,agg,int,atm,col,adr,lat,long
0,201900000473,138 305 661,B01,2,33,0,2,3,18,1,,24,10,2019,20:50,5,75,75117,2,4,1,3,BD PERIPHEDIQUE EXTERIEUR,48.8830744,2.2837066
1,201900000474,138 305 659,A01,1,33,0,2,3,1,1,,23,10,2019,04:50,5,75,75120,2,2,1,3,COURS DE VINCENNES,48.8470484,2.4110571
2,201900000475,138 305 656,A01,2,33,0,2,6,1,1,,23,10,2019,15:25,1,75,75120,2,2,1,6,RUE DE GUEBRIANT,48.872928,2.408648
3,201900000476,138 305 655,Z01,1,33,0,1,1,1,1,,23,10,2019,12:30,1,75,75111,2,2,1,6,BOULEVARD DE CHARONNE,48.8565645,2.3944381
4,201900000477,138 305 653,B01,1,32,0,2,4,23,1,,24,10,2019,08:35,1,75,75119,2,1,1,2,ROUTE DES PETITS PONTS,48.891922,2.39834
5,201900000478,138 305 652,B01,2,1,0,2,7,12,5,,24,10,2019,08:30,1,75,75118,2,1,1,3,RUE MARX DORMOY,48.8881149,2.3598786
6,201900000479,138 305 650,A01,2,32,0,2,1,17,1,,24,10,2019,18:05,1,75,75117,2,3,1,3,BOULEVARD DU BOIS LE PRETRE,48.8989026,2.3223972
7,201900000480,138 305 648,A01,1,1,0,1,1,1,5,,24,10,2019,19:55,5,75,75115,2,2,1,6,RUE OLIVIER DE SERRES,48.8361386,2.297221
8,201900000481,138 305 646,A01,2,31,1,2,1,17,1,,24,10,2019,16:00,1,75,75115,2,3,1,3,RUE DE VAUGIRARD,48.8362714,2.2943778
9,201900000482,138 305 645,B01,2,30,0,2,3,18,1,,24,10,2019,16:35,1,75,75113,2,1,1,3,AVENUE D ITALIE,48.8225998,2.358404
10,201900000483,138 305 642,A01,1,1,0,2,6,9,5,,24,10,2019,20:10,5,75,75108,2,7,1,6,PLACE SAINT AUGUSTIN,48.8756728,2.3195863
11,201900000483,138 305 643,Z01,1,30,0,2,1,1,0,,24,10,2019,20:10,5,75,75108,2,7,1,6,PLACE SAINT AUGUSTIN,48.8756728,2.3195863
12,201900000485,138 305 639,A01,2,33,0,1,1,7,1,,24,10,2019,19:15,5,75,75104,2,3,8,6,BOULEVARD BEAUMARCHAIS,48.854811,2.3687331
13,201900000556,138 305 513,B01,2,32,0,2,8,3,1,,29,11,2019,17:00,1,75,75112,2,1,1,3,BD PERIPHERIQUE EXTERIEUR,48.8377373,2.4129528
14,201900000557,138 305 511,A01,2,33,0,2,1,17,1,,28,11,2019,09:20,1,75,75112,2,1,1,4,RUE DE DIJON,48.835601,2.385911
15,201900000558,138 305 508,A01,2,1,0,1,8,1,5,,29,11,2019,19:26,5,75,75105,2,2,1,6,BOULEVARD SAINT MARCEL,48.8384763,2.3570239
16,201900000559,138 305 507,A01,1,30,0,2,8,18,1,,27,11,2019,13:20,1,75,75106,2,4,2,3,BOULEVARD SAINT MICHEL,48.8412519,2.3374696
17,201900000560,138 305 505,A01,1,33,0,2,2,17,1,,29,11,2019,14:50,1,75,75117,2,1,1,3,AVENUE DE VILLIERS,48.885265,2.294796
18,201900000561,138 305 503,A01,1,30,0,2,3,18,1,,28,11,2019,10:35,1,75,75117,2,1,1,3,BOULEVARD DE COURCELLES,48.879908,2.306633
19,201900000562,138 305 501,A01,2,31,0,1,2,17,1,,28,11,2019,16:25,1,75,75108,2,4,8,6,AVENUE MARCEAU,48.8660756,2.2996588
20,201900000563,138 305 500,A01,1,31,0,2,0,18,1,,29,11,2019,19:30,5,75,75112,2,1,8,6,BOULEVARD DIDEROT,48.8466734,2.3809492
21,201900000564,138 305 497,B01,1,32,0,2,2,1,1,,29,11,2019,08:00,1,75,75112,2,1,2,3,AVENUE LEDRU ROLLIN,48.848819,2.372875
22,201900000565,138 305 496,A01,2,43,0,1,1,20,1,,29,11,2019,09:00,1,75,75111,2,1,8,6,RUE DE CRUSSOL,48.86408,2.367715
23,201900000566,138 305 495,A01,1,33,0,2,8,1,1,,29,11,2019,19:05,5,75,75108,2,2,1,6,COURS LA REINE,48.864681,2.313657
24,201900000567,138 305 493,A01,2,32,0,0,8,1,1,,29,11,2019,12:00,1,75,75108,2,1,1,7,RUE DE COURCELLES,48.8732719,2.3112966
25,201900000568,138 305 491,B01,2,33,0,2,4,23,1,,29,11,2019,09:30,1,75,75108,2,3,2,2,AVENUE MARCEAU,48.868525,2.298919
26,201900000569,138 305 489,B01,1,30,0,2,0,9,1,,29,11,2019,13:45,1,75,75102,2,3,2,6,RUE SAINT DENIS,48.8667094,2.3512489
27,201900000569,138 305 490,Z01,2,1,0,2,0,5,5,,29,11,2019,13:45,1,75,75102,2,3,2,6,RUE SAINT DENIS,48.8667094,2.3512489
